Reading_Score,Writing_Score,Listening_Score,Speaking_Score,Attendance_Percentage,Practice_Hours,Vocabulary_Score,Grammar_Score,Mock_Test_Score,Final_IELTS_Band
5.3,4.9,5.5,5.9,100.0,2.8,66.6,52.7,6.4,5.5
4.5,4.5,4.8,5.1,100.0,3.2,64.2,58.1,4.3,4.7
4.3,5.2,5.8,5.0,100.0,5.1,63.2,57.7,6.6,5.4
6.6,6.9,7.5,7.3,100.0,7.5,70.3,73.8,6.8,7.2
5.3,5.9,4.2,3.4,100.0,6.2,35.8,53.7,5.3,4.9
3.7,4.0,4.1,4.1,100.0,5.7,45.4,45.9,4.2,4.2
7.7,7.9,7.8,5.1,100.0,5.6,75.7,55.5,5.5,7.1
6.3,5.2,5.6,7.3,100.0,5.6,46.9,71.9,4.7,5.8
3.8,3.6,3.5,4.2,100.0,4.4,52.2,55.5,6.2,4.3
5.5,6.4,5.3,7.6,100.0,5.4,53.9,39.8,5.2,6.0
5.7,5.3,4.2,5.2,100.0,3.9,51.7,32.6,5.2,5.1
5.0,5.3,5.6,4.8,100.0,1.7,42.9,63.3,3.5,5.0
5.3,4.0,6.0,4.8,100.0,3.6,56.6,55.9,5.4,5.3
2.5,2.3,3.5,1.8,100.0,1.5,20.0,21.3,3.0,2.8
3.0,3.7,3.5,3.4,100.0,0.5,20.7,20.0,5.0,3.4
3.9,4.4,5.0,4.3,100.0,5.1,48.0,31.3,4.1,4.5
2.1,2.8,3.3,2.6,100.0,1.4,33.5,32.9,3.3,2.8
7.0,5.8,5.2,4.0,100.0,6.5,43.7,64.5,5.6,5.6
4.0,3.2,3.2,3.1,100.0,4.5,37.5,36.2,3.2,3.6
3.6,5.0,3.2,4.9,100.0,2.1,32.7,34.9,3.6,3.9
6.7,8.2,7.3,8.7,100.0,8.7,85.7,89.6,6.7,7.4
4.1,5.3,4.8,4.9,100.0,5.8,58.1,40.8,4.2,4.6
4.9,6.4,6.0,5.2,100.0,4.6,50.4,54.0,5.4,5.6
2.0,3.4,2.5,3.0,100.0,2.2,23.2,38.7,3.4,2.6
6.2,5.1,4.7,3.5,100.0,5.8,39.6,32.5,4.9,4.8
